image,name,main_category
https://m.media-amazon.com/images/I/61fVjSC3ekL._AC_UL320_.jpg,"Boldfit Foam Roller for Back Pain, Deep Tissue Massage and Body Pain High Density Foam Roller for Exercise in Gym, Home Ba...",sports & fitness
https://m.media-amazon.com/images/I/71jz4644-oL._AC_UL320_.jpg,Boldfit Resistance Bands Mini Loop Hip Band/Toning Exercise Band for Gym Booty Belt/Latex Band/Thera Band/Theraband for Fi...,sports & fitness
https://m.media-amazon.com/images/I/81wdb6hG6iL._AC_UL320_.jpg,"AmazonBasics Polyvinyl Chloride, Polypropylene Standard Jump Rope, Grey",sports & fitness
https://m.media-amazon.com/images/I/61Xb+79FRXL._AC_UL320_.jpg,Boldfit Forearm Strengthener Wrist Exercise Equipment Arm Strengthener Grip Strengthener Fitness Equipment Home Gym Equipm...,sports & fitness
https://m.media-amazon.com/images/I/81ADWunLvuL._AC_UL320_.jpg,"Aurion Premium Super Weight Lifting Belt (Medium, Black, Pack of 1) for Men and Women | Body Fitness Gym Back Support Weig...",sports & fitness
https://m.media-amazon.com/images/I/71l9Sw3XIaS._AC_UL320_.jpg,Protoner Home Gym Set with Accessories,sports & fitness
https://m.media-amazon.com/images/I/71hmkD6-0xL._AC_UL320_.jpg,KORE DM-HEXA-5KG-COMBO16 Dumbbells Kits,sports & fitness
https://m.media-amazon.com/images/I/514FiEY9OPL._AC_UL320_.jpg,CONSONANTIAM Finger Gripper Strength Trainer Forearm Exerciser Hand Yoga Resistance Band Finger Expander Finger Extension ...,sports & fitness
https://m.media-amazon.com/images/I/71cDx2JQy5L._AC_UL320_.jpg,"AmazonBasics 13mm Extra Thick Yoga and Exercise Mat with Carrying Strap, Purple",sports & fitness
https://m.media-amazon.com/images/I/61OZ2jbO7pL._AC_UL320_.jpg,BLINKIN Gym wear Mesh Leggings Workout Pants with Side Pockets/Stretchable Tights/Highwaist Sports Fitness Yoga Track Pant...,sports & fitness
https://m.media-amazon.com/images/I/51GLzwqs1vL._AC_UL320_.jpg,ALN® Tummy Twister Abdominal ABS Exerciser Body Toner-Fat Buster Oblique Workout Perfect Waist Trimmer Home Gym Equipment ...,sports & fitness
https://m.media-amazon.com/images/I/61VcW8otphL._AC_UL320_.jpg,Spanco PVC (Round Shape) Dumbbells for Home Gym Equipment Fitness Barbell|Gym Exercise|Home Workout | Fitness Kit|Dumbbell...,sports & fitness
https://m.media-amazon.com/images/I/51BipDnNkrL._AC_UL320_.jpg,"Kobo WTG-05 Leather Gym Gloves, Medium (Black)",sports & fitness
https://m.media-amazon.com/images/I/81f76RWGiYL._AC_UL320_.jpg,"Lifelong PVC Home Gym Set 10Kg Plate 3Feet Curl Rod and Dumbbells Rods with Gym Accessories, Black",sports & fitness
https://m.media-amazon.com/images/I/51oBoS87qiL._AC_UL320_.jpg,SignoraWare Charger Stainless Steel Protein Shaker Bottle for Pre-Post Workout | Water Bottle | Leakproof with Knob (750ml...,sports & fitness
https://m.media-amazon.com/images/I/61mUc9vBJqL._AC_UL320_.jpg,RUBX Rubber Coated Professional Exercise Hex Fixed Dumbbells (Pack of Two) 5 Kg x 2pc (Total = 10 kg) Black,sports & fitness
https://m.media-amazon.com/images/I/61CCr59fvlL._AC_UL320_.jpg,"Boldfit Resistance Bands for Workout Dual Color Heavy Resistance Band for Stretching, Pull ups, Home Exercise Resistance B...",sports & fitness
https://m.media-amazon.com/images/I/71pcrSXprsL._AC_UL320_.jpg,"Unisex Hexagon Rubber Vinyl Fixed Dumbbell - Pair Set Hand Weights for Strength Training - Weight Loss, Workout Bench, Gym...",sports & fitness
https://m.media-amazon.com/images/I/51hDX7cVycL._AC_UL320_.jpg,Reach AB-110 Air Bike Exercise Cycle with Moving or Stationary Handle | Adjustable Resistance with Cushioned Seat | Fitnes...,sports & fitness
https://m.media-amazon.com/images/I/71Sp5kiKjmL._AC_UL320_.jpg,"AGARO FR4921, High Density, For Deep Tissue Muscle Massage with Carrying Bag, Myofascial Trigger Point Release",sports & fitness
https://m.media-amazon.com/images/I/41oTg0XNbFL._AC_UL320_.jpg,LAFILLETTE 150 lbs Metal Hand Gripper Forearm Wrist Heavy Strength Exercise Hand Grip/Fitness Grip (Black),sports & fitness
https://m.media-amazon.com/images/I/813g2hRYuoL._AC_UL320_.jpg,"Aurion Genuine Leather Pro Weight Lifting Belt, Durable Comfortable & Adjustable With Buckle, Stabilizing Lower Back Suppo...",sports & fitness
https://m.media-amazon.com/images/I/61VcW8otphL._AC_UL320_.jpg,SPIRO PVC (Round/Hex) Dumbbells (1 Kg. X 2 = 2 Kg) Pack of 2 for Home Gym Equipment Fitness Barbell|Gym Exercise|Home Work...,sports & fitness
https://m.media-amazon.com/images/I/61JDnhgeIuL._AC_UL320_.jpg,"Pull up Bar for Home, Sportneer Adjustable Length Hanging Rod for Height Increase No Screws Anti-skid Grip Hanging Bar for...",sports & fitness
https://m.media-amazon.com/images/I/81uD8dr+YbL._AC_UL320_.jpg,Dr Trust AB Wheel (USA) Abdominal Exercise Ab Blaster Fitness Roller Wheel Equipment with Knee Mat for Men & Women (Black),sports & fitness
https://m.media-amazon.com/images/I/61L7qCh-xOL._AC_UL320_.jpg,MAXWELL® Fitness Yoga Mat for Women and Men(SIZE-6mm) with Carrying Strap Extra Thick & Large Excercise Mat for Workout Yo...,sports & fitness
https://m.media-amazon.com/images/I/41ClL2Bug8L._AC_UL320_.jpg,"Nivia 11044 Weight Lifting Wrist Support, Free Size (Black)",sports & fitness
https://m.media-amazon.com/images/I/71scShG3UlL._AC_UL320_.jpg,Lycan Wrist/Ankle Weights 4 kg (2 kg Each x 2 pc),sports & fitness
https://m.media-amazon.com/images/I/41ySXF78faL._AC_UL320_.jpg,Unbeatable Polyester Spandex Men's Sports Running Set Compression Shirt + Pants Skin-Tight Long Sleeves Quick Dry Fitness ...,sports & fitness
